Year;Sex;Age;Total
2013;Alls; 24 ára;2021
2013;Alls; 25 ára;1800
2013;Alls; 26 ára;1415
2013;Alls; 27 ára;1150
2013;Alls; 28 ára;984
2013;Alls; 29 ára;933
2013;Karlar;16 ára;2150
2013;Karlar; 17 ára;2036
2013;Karlar; 18 ára;1845
2013;Karlar; 19 ára;1663
2013;Karlar; 20 ára;1310
2013;Karlar; 21 ára;1255
2013;Karlar; 22 ára;1190
2013;Karlar; 23 ára;1117
2013;Karlar; 24 ára;873
2013;Karlar; 25 ára;820
2013;Karlar; 26 ára;652
2013;Karlar; 27 ára;504
2013;Karlar; 28 ára;437
2013;Karlar; 29 ára;412
2013;Konur;16 ára;2039
2013;Konur; 17 ára;1968
2013;Konur; 18 ára;1858
2013;Konur; 19 ára;1755
2013;Konur; 20 ára;1290
2013;Konur; 21 ára;1355
2013;Konur; 22 ára;1357
2013;Konur; 23 ára;1358
2013;Konur; 24 ára;1148
2013;Konur; 25 ára;980
2013;Konur; 26 ára;763
2013;Konur; 27 ára;646
2013;Konur; 28 ára;547
2013;Konur; 29 ára;521
2014;Alls;16 ára;4144
2014;Alls; 17 ára;3926
2014;Alls; 18 ára;3710
2014;Alls; 19 ára;3318
2014;Alls; 20 ára;2422
2014;Alls; 21 ára;2530
2014;Alls; 22 ára;2527
2014;Alls; 23 ára;2321
2014;Alls; 24 ára;2179
2014;Alls; 25 ára;1722
2014;Alls; 26 ára;1504
2014;Alls; 27 ára;1167
2014;Alls; 28 ára;953
2014;Alls; 29 ára;817
2014;Karlar;16 ára;2106
2014;Karlar; 17 ára;2001
2014;Karlar; 18 ára;1847
2014;Karlar; 19 ára;1673
2014;Karlar; 20 ára;1232
2014;Karlar; 21 ára;1176
2014;Karlar; 22 ára;1208
2014;Karlar; 23 ára;1080
2014;Karlar; 24 ára;1000
2014;Karlar; 25 ára;747
2014;Karlar; 26 ára;674
2014;Karlar; 27 ára;519
2014;Karlar; 28 ára;414
2014;Karlar; 29 ára;349
2014;Konur;16 ára;2038
2014;Konur; 17 ára;1925
2014;Konur; 18 ára;1863
2014;Konur; 19 ára;1645
2014;Konur; 20 ára;1190
2014;Konur; 21 ára;1354
2014;Konur; 22 ára;1319
2014;Konur; 23 ára;1241
2014;Konur; 24 ára;1179
2014;Konur; 25 ára;975
2014;Konur; 26 ára;830
2014;Konur; 27 ára;648
2014;Konur; 28 ára;539
2014;Konur; 29 ára;468
2015;Alls;16 ára;4059
2015;Alls; 17 ára;3841
2015;Alls; 18 ára;3589
2015;Alls; 19 ára;3262
2015;Alls; 20 ára;2267
2015;Alls; 21 ára;2442
2015;Alls; 22 ára;2438
2015;Alls; 23 ára;2208
2015;Alls; 24 ára;1973
2015;Alls; 25 ára;1793
2015;Alls; 26 ára;1398
2015;Alls; 27 ára;1204
2015;Alls; 28 ára;980
2015;Alls; 29 ára;759
2015;Karlar;16 ára;2002
2015;Karlar; 17 ára;1962
2015;Karlar; 18 ára;1770
2015;Karlar; 19 ára;1615
2015;Karlar; 20 ára;1159
2015;Karlar; 21 ára;1144
2015;Karlar; 22 ára;1115
2015;Karlar; 23 ára;986
2015;Karlar; 24 ára;884
2015;Karlar; 25 ára;814
2015;Karlar; 26 ára;610
2015;Karlar; 27 ára;540
2015;Karlar; 28 ára;457
2015;Karlar; 29 ára;315
2015;Konur;16 ára;2057
2015;Konur; 17 ára;1879
2015;Konur; 18 ára;1819
2015;Konur; 19 ára;1647
2015;Konur; 20 ára;1108
2015;Konur; 21 ára;1298
2015;Konur; 22 ára;1323
2015;Konur; 23 ára;1222
2015;Konur; 24 ára;1089
2015;Konur; 25 ára;979
